method,seed_count,seeds,test_accuracy,test_d1,test_d2,test_d3,test_d4,test_macro_depth_accuracy,test_worst_depth_accuracy
flat_oracle,1,42,0.2948717948717949,0.15384615384615385,0.1794871794871795,0.41025641025641024,0.4358974358974359,0.2948717948717949,0.15384615384615385
monolithic,1,42,0.34615384615384615,0.15384615384615385,0.28205128205128205,0.5128205128205128,0.4358974358974359,0.34615384615384615,0.15384615384615385
non_nested_random_masks,1,42,0.2948717948717949,0.10256410256410256,0.15384615384615385,0.4358974358974359,0.48717948717948717,0.2948717948717949,0.10256410256410256
ordered_prefix,1,42,0.32051282051282054,0.15384615384615385,0.20512820512820512,0.46153846153846156,0.46153846153846156,0.3205128205128205,0.15384615384615385
ordered_prefix_local_credit,1,42,0.2948717948717949,0.1282051282051282,0.1794871794871795,0.41025641025641024,0.46153846153846156,0.2948717948717949,0.1282051282051282
permuted_depth_prefix,1,42,0.34615384615384615,0.1794871794871795,0.23076923076923078,0.5128205128205128,0.46153846153846156,0.34615384615384615,0.1794871794871795
random_group_order,1,42,0.32051282051282054,0.15384615384615385,0.20512820512820512,0.4358974358974359,0.48717948717948717,0.32051282051282054,0.15384615384615385
static_split,1,42,0.3782051282051282,0.1794871794871795,0.3076923076923077,0.5384615384615384,0.48717948717948717,0.3782051282051282,0.1794871794871795
