split,train_k,adapter,n,correct_to_correct,correct_to_wrong,wrong_to_correct,wrong_to_wrong,net_k2_gain,mcnemar_exact_p
validation,1,correct,32,0,4,0,28,-4,0.125
validation,1,none,32,0,8,1,23,-7,0.0390625
validation,2,correct,32,1,1,1,29,0,1.0
validation,2,none,32,0,8,1,23,-7,0.0390625
test,1,correct,64,1,10,1,52,-9,0.01171875
test,1,none,64,0,16,0,48,-16,3.0517578125e-05
test,2,correct,64,1,3,2,58,-1,1.0
test,2,none,64,0,16,0,48,-16,3.0517578125e-05
